battle_id,first_pokemon_id,second_pokemon_id,winner_pokemon_id
185,129,106,129
186,6,604,6
187,137,315,137
188,83,509,509
189,585,534,585
190,743,57,57
191,220,723,723
192,764,665,764
193,708,439,708
194,28,545,545
195,23,796,23
196,698,147,147
197,306,635,635
198,158,666,158
199,55,750,750
200,513,439,513
201,769,264,264
202,232,499,499
203,23,623,23
204,97,250,250
205,324,544,544
206,517,10,517
207,586,461,461
208,779,349,349
209,669,226,226
210,623,53,623
211,538,718,718
212,438,242,438
213,523,759,523
214,14,103,103
215,378,152,152
216,478,361,478
217,137,698,137
218,354,739,739
219,233,684,684
220,291,605,291
221,96,264,264
222,730,137,137
223,129,744,129
224,611,107,611
225,58,560,560
226,658,146,658
227,625,753,625
228,524,27,524
229,794,474,794
230,365,391,391
231,592,585,592
232,512,586,512
233,526,424,424
234,70,456,70
235,540,288,540
236,347,389,347
237,689,128,128
238,211,701,701
239,336,385,336
240,594,80,80
241,785,490,490
242,425,308,425
243,27,731,731
244,459,399,459
245,421,494,421
246,578,768,768
247,63,82,63
248,257,221,257
249,4,150,4
250,546,333,546
251,308,544,544
252,213,442,213
253,575,302,302
254,209,645,209
255,92,768,92
256,116,672,116
257,132,69,69
258,568,396,568
259,644,218,644
260,321,163,163
261,17,164,164
262,715,190,715
263,51,57,51
264,237,448,448
265,580,676,580
266,789,726,726
267,420,718,420
268,83,499,499
269,526,159,159
270,115,56,56
271,358,636,358
272,54,532,532
273,534,798,534
274,768,179,768
275,94,724,724
276,795,437,795
277,313,432,432
278,305,251,305
279,269,289,269
280,593,733,733
281,568,428,428
282,290,287,287
283,762,733,762
284,217,100,100
285,668,87,668
286,165,49,165
287,123,771,771
288,261,154,154
289,225,640,640
290,313,103,103
291,106,505,505
292,453,614,614
293,107,48,48
294,722,590,590
295,559,431,431
296,141,727,727
297,490,239,490
298,490,340,340
299,373,128,128
300,3,730,3
301,502,91,502
302,714,104,714
303,788,276,276
304,459,16,16
305,432,143,432
306,724,2,724
307,648,533,648
308,250,357,250
309,155,439,155
310,447,20,20
311,366,371,366
312,337,770,337
313,358,765,358
314,198,110,198
315,152,760,760
316,164,577,164
317,174,646,646
318,438,59,59
319,614,443,614
320,789,127,127
321,504,421,421
322,565,214,214
323,158,635,635
324,386,21,21
325,408,404,404
326,349,440,349
327,410,295,410
328,83,569,569
329,249,411,249
330,173,609,173
331,770,572,572
332,51,473,473
333,452,106,106
334,550,769,550
335,525,740,525
336,464,762,762
337,147,798,798
338,572,45,572
339,569,741,569
340,193,28,28
341,247,445,247
342,511,280,280
343,435,44,44
344,794,359,794
345,196,758,758
346,470,410,410
347,631,164,164
348,451,790,451
349,211,442,442
350,773,582,773
351,403,59,59
352,401,413,413
353,228,679,679
354,753,196,196
355,578,434,434
356,210,40,40
357,38,716,716
358,18,458,458
359,538,742,538
360,702,627,702
361,403,412,403
362,517,136,136
363,465,89,465
364,505,502,505
365,601,644,644
366,459,84,84
367,548,525,525
368,707,521,521
369,14,62,62
370,728,501,728
371,182,246,246
372,741,117,741
373,29,431,431
374,719,574,574
375,209,477,477
376,492,37,37
377,425,43,425
378,207,284,284
379,749,512,512
380,539,153,153
381,152,159,159
382,738,18,738
383,182,579,579
384,69,302,69
385,173,713,713
386,488,199,488
387,683,506,683
388,2,619,2
389,735,255,735
390,70,800,70
391,120,67,67
392,738,610,610
393,68,397,397
394,540,714,540
395,184,197,184
396,577,58,58
397,750,29,29
398,391,640,391
399,211,737,211
400,462,694,694
401,337,147,147
402,459,644,644
403,615,652,615
404,786,180,786
405,247,594,594
406,536,720,536
407,729,586,586
408,715,80,715
409,516,740,516
410,440,525,525
411,174,410,410
412,634,424,424
413,252,797,797
414,317,294,317
415,463,790,790
416,770,7,7
417,110,783,110
418,454,469,469
419,241,731,241
420,688,190,688
421,271,21,271
422,738,789,738
423,476,223,476
424,574,283,574
425,621,551,551
426,723,617,723
427,1,679,679
428,595,131,595
429,433,339,339
430,247,452,247
431,19,709,709
432,410,278,410
433,103,142,103
434,37,337,337
435,453,29,453
436,73,113,113
437,374,87,374
438,634,784,784
439,681,790,681
440,181,765,181
441,584,498,498
442,586,590,590
443,732,1,732
444,478,524,478
445,734,19,19
446,634,348,634
447,567,755,567
448,354,82,354
449,417,783,417
450,420,85,420
451,610,215,610
452,350,160,350
453,122,588,588
454,159,77,159
455,398,598,398
456,300,704,704
457,508,293,508
458,763,685,685
459,428,203,428
460,509,199,509
461,106,592,106
462,550,394,550
463,310,48,48
464,80,314,314
465,463,203,463
466,484,9,9
467,700,49,700
468,437,533,533
469,73,485,73
470,627,314,314
471,216,657,216
472,126,617,126
473,632,707,707
474,692,331,692
475,11,309,309
476,483,22,483
477,665,170,170
478,540,337,540
479,39,299,299
480,761,762,762
481,441,1,441
482,434,137,137
483,700,433,700
484,52,379,379
485,158,171,158
486,769,374,769
487,789,690,690
488,393,255,255
489,307,741,307
490,528,492,528
491,212,24,24
492,99,173,99
493,58,253,58
494,226,289,226
495,365,609,365
496,409,532,409
497,647,294,647
498,15,756,756
499,196,774,196
500,265,68,265
501,564,749,749
502,750,248,248
503,142,107,142
504,427,404,427
505,454,302,302
506,323,574,574
507,262,67,67
508,710,434,710
509,291,666,291
510,233,445,233
511,126,494,494
512,252,108,108
513,69,212,212
514,120,342,120
515,224,173,173
516,695,94,94
517,672,355,672
518,409,254,409
519,195,607,607
520,528,327,327
521,127,81,127
522,698,336,336
523,422,705,705
524,432,397,432
525,409,376,409
526,582,424,424
527,521,268,521
528,304,708,708
529,385,492,492
530,560,70,560
531,545,149,149
532,68,362,362
533,672,732,732
534,632,14,632
535,641,341,341
536,365,428,428
537,594,425,425
538,764,529,764
539,397,161,397
540,111,670,670
541,219,738,219
542,408,647,647
543,516,107,107
544,622,736,736
545,212,128,212
546,685,648,648
547,406,420,420
548,501,689,689
549,533,211,533
550,413,580,413
551,74,277,277
552,460,713,713
553,450,8,8
554,376,196,196
555,292,510,510
556,282,186,282
557,384,699,699
558,295,741,741
559,346,790,346
560,269,187,269
561,45,323,323
562,89,778,778
563,151,238,151
564,774,667,774
565,266,301,301
566,602,375,375
567,31,490,490
568,92,182,92
569,588,390,588
570,476,434,476
571,360,426,426
572,101,21,21
573,267,182,267
574,245,72,72
575,10,17,17
576,110,425,425
577,244,177,177
578,209,465,465
579,778,760,778
580,192,721,192
581,340,110,110
582,555,443,443
583,538,82,538
584,123,434,123
585,597,627,597
586,409,56,409
587,458,301,301
588,65,644,65
589,584,319,319
590,262,210,210
591,116,492,116
592,75,480,480
593,38,302,302
594,750,656,656
595,453,174,453
596,375,509,375
597,791,203,791
598,617,266,617
599,480,541,541
600,425,750,425
601,325,276,276
602,385,157,157
603,331,648,648
604,566,34,34
605,86,502,502
606,214,435,214
607,551,778,551
608,300,354,300
609,438,630,438
610,209,397,209
611,582,666,582
612,52,780,780
613,492,417,417
614,519,581,581
615,11,771,771
616,725,340,340
617,286,313,313
618,79,633,633
619,435,83,435
620,565,55,55
621,313,754,313
622,247,685,247
623,698,215,698
624,76,567,567
625,451,21,451
626,132,473,132
627,500,215,500
628,4,13,4
629,111,188,111
630,39,519,519
631,129,303,129
632,306,39,306
633,752,595,595
634,699,458,699
635,708,456,708
636,102,304,102
637,399,239,239
638,37,13,13
639,498,282,498
640,649,489,649
641,535,189,535
642,147,189,147
643,107,32,32
644,688,350,350
645,559,540,540
646,28,44,44
647,277,168,168
648,285,328,328
649,650,652,650
650,638,393,393
651,365,233,233
652,215,290,215
653,576,231,576
654,335,333,335
655,79,392,79
656,181,41,181
657,136,546,136
658,208,685,685
659,634,480,480
660,481,690,481
661,262,47,47
662,87,59,59
663,637,695,695
664,712,74,712
665,696,274,274
666,485,101,101
667,484,661,661
668,721,631,631
669,354,257,257
670,485,605,605
671,27,798,798
672,604,131,131
673,336,532,532
674,298,179,179
675,297,394,394
676,260,358,260
677,429,475,429
678,546,416,546
679,174,224,174
680,65,173,65
681,793,247,793
682,530,437,437
683,154,650,154
684,627,150,150
685,47,334,334
686,146,660,660
687,348,105,348
688,712,575,712
689,602,728,728
690,523,461,523
691,347,526,526
692,579,373,579
693,2,214,214
694,10,596,596
695,531,762,531
696,430,516,430
697,305,400,305
698,158,258,158
699,528,38,528
700,54,600,600
701,424,728,424
702,232,333,232
703,162,114,162
704,59,118,59
705,632,742,742
706,488,708,708
707,180,690,690
708,129,423,423
709,162,439,162
710,592,267,267
711,727,219,727
712,707,764,707
713,537,525,537
714,798,672,672
715,6,47,6
716,421,225,421
717,703,732,732
718,743,248,248
719,773,454,773
720,286,680,286
721,541,302,541
722,210,686,686
723,503,62,503
724,423,734,423
725,280,524,280
726,116,681,116
727,365,680,680
728,330,664,664
729,462,463,463
730,242,325,242
731,131,340,340
732,713,794,794
733,234,667,234
734,270,772,772
735,200,393,393
736,181,351,181
737,546,350,350
738,665,39,39
739,475,402,475
740,383,722,383
741,401,580,580
742,123,609,123
743,502,123,502
744,98,537,537
745,565,716,716
746,512,100,512
747,240,93,93
748,646,468,646
749,89,470,89
750,438,284,438
751,125,31,125
752,570,222,570
753,350,512,512
754,643,42,643
755,560,316,316
756,715,343,715
757,126,622,126
758,278,184,184
759,604,130,130
760,558,573,573
761,411,220,411
762,132,181,132
763,592,748,748
764,709,260,709
765,515,598,598
766,576,530,576
767,512,205,512
768,268,458,268
769,633,113,633
770,368,101,101
771,371,61,61
772,248,339,339
773,256,30,30
774,691,593,691
775,118,349,349
776,216,30,216
777,540,545,540
778,664,13,13
779,292,52,52
780,120,256,256
781,178,456,178
782,148,343,343
783,693,68,68
784,547,719,547
785,93,738,93
786,664,398,398
787,347,589,589
788,222,568,568
789,349,425,349
790,166,559,166
791,50,306,306
792,361,716,716
793,226,509,226
794,2,594,2
795,50,134,134
796,459,111,111
797,667,96,667
798,260,215,215
799,380,694,694
800,496,485,496
801,310,153,153
802,349,663,349
803,516,130,516
804,783,681,783
805,657,355,355
806,549,100,549
807,462,690,690
808,112,465,465
809,117,370,370
810,549,54,549
811,478,593,478
812,497,280,280
813,766,591,766
814,677,17,677
815,251,259,251
816,53,494,494
817,746,494,494
818,475,723,475
819,305,238,305
820,288,524,288
821,751,45,751
822,291,470,291
823,154,325,154
824,638,359,638
825,604,233,233
826,19,369,19
827,526,203,526
828,129,695,129
829,215,719,719
830,518,118,518
831,127,287,127
832,559,214,214
833,762,86,762
834,557,501,557
835,282,605,282
836,307,149,307
837,425,390,425
838,612,731,731
839,387,311,311
840,143,116,116
841,340,268,340
842,14,162,162
843,570,492,570
844,549,127,549
845,484,212,212
846,524,222,524
847,400,151,151
848,375,255,255
849,738,176,738
850,116,490,490
851,2,394,394
852,369,505,505
853,283,254,254
854,545,241,545
855,49,268,268
856,522,177,522
857,699,225,225
858,160,398,398
859,579,691,691
860,337,494,494
861,465,536,465
862,768,738,768
863,541,233,541
864,462,259,259
865,569,796,569
866,145,148,148
867,306,290,306
868,581,549,549
869,81,70,81
870,179,517,179
871,147,629,147
872,274,302,274
873,621,271,271
874,669,318,318
875,533,754,533
876,487,527,527
877,385,160,160
878,49,636,636
879,793,372,793
880,93,477,477
881,572,353,572
882,422,132,132
883,296,599,296
884,771,323,771
885,385,323,385
886,523,519,519
887,390,747,747
888,698,98,698
889,472,295,472
890,667,797,797
891,643,620,643
892,450,700,700
893,583,450,583
894,247,7,7
895,614,638,614
896,15,182,182
897,624,68,68
898,281,716,716
899,167,761,167
900,157,141,157
901,175,697,697
902,791,85,85
903,54,214,214
904,50,406,50
905,585,463,585
906,675,343,343
907,369,392,392
908,30,198,30
909,406,403,403
910,627,173,173
911,671,395,671
912,359,657,657
913,117,707,707
914,654,164,654
915,86,377,86
916,699,454,699
917,440,615,615
918,406,542,542
919,604,142,142
920,231,209,209
921,441,337,337
922,116,790,116
923,305,752,752
924,40,226,40
925,514,602,514
926,629,74,629
927,217,628,628
928,261,24,24
929,613,189,613
930,597,386,597
931,555,682,682
932,165,515,165
933,766,395,766
934,493,378,493
935,339,460,339
936,47,711,711
937,619,451,451
938,105,599,599
939,692,126,692
940,74,693,693
941,45,315,315
942,596,770,596
943,595,392,392
944,102,54,102
945,742,666,742
946,343,407,343
947,438,604,438
948,111,294,111
949,468,342,342
950,528,794,794
951,513,461,513
952,424,604,424
953,383,536,536
954,56,795,795
955,292,246,246
956,593,332,332
957,352,697,697
958,520,184,184
959,504,426,426
960,21,602,21
961,343,622,343
962,224,228,228
963,160,354,160
964,490,24,24
965,158,274,158
966,713,331,713
967,414,518,414
968,141,538,538
969,713,218,713
970,273,765,765
971,97,701,701
972,603,452,603
973,514,640,514
974,542,615,542
975,63,399,63
976,676,142,142
977,274,615,615
978,792,498,792
979,586,751,751
980,495,489,495
981,280,83,280
982,291,54,291
983,73,415,415
984,531,659,531
985,230,674,674
986,455,531,531
987,662,382,662
988,464,751,751
989,572,102,102
990,213,232,232
991,591,100,100
992,470,258,258
993,720,243,720
994,381,783,783
995,157,525,157
996,1,687,687
997,376,301,301
998,665,567,567
999,790,124,124
1000,356,436,436
1001,715,442,715
1002,415,732,415
1003,216,195,216
1004,520,700,700
1005,191,116,116
1006,227,573,573
1007,83,742,742
1008,661,366,366
1009,767,15,767
1010,567,217,567
1011,276,619,276
1012,371,31,31
1013,163,470,163
1014,696,576,576
1015,163,132,163
1016,496,319,496
1017,676,614,614
1018,164,141,164
1019,639,562,562
1020,138,233,138
1021,283,413,413
1022,227,32,32
1023,606,360,606
1024,429,375,429
1025,286,21,286
1026,800,422,422
1027,498,199,498
1028,214,380,214
1029,679,94,679
1030,602,150,602
1031,163,675,163
1032,684,467,467
1033,368,376,368
1034,137,153,137
1035,744,248,248
1036,283,336,336
1037,282,288,288
1038,710,646,710
1039,713,250,713
1040,654,56,56
1041,1,557,557
1042,543,762,543
1043,130,341,341
1044,65,523,65
1045,175,563,175
1046,157,25,157
1047,308,110,110
1048,107,213,213
1049,150,717,717
1050,5,117,5
1051,173,576,576
1052,296,412,296
1053,749,682,682
1054,285,44,44
1055,494,384,494
1056,31,692,31
1057,657,402,657
1058,483,678,483
1059,372,607,607
1060,734,724,724
1061,268,441,268
1062,192,21,192
1063,62,576,576
1064,369,447,369
1065,344,323,344
1066,299,410,410
1067,689,137,137
1068,426,83,426
1069,4,307,307
1070,54,460,54
1071,717,177,717
1072,118,739,739
1073,350,4,350
1074,325,299,299
1075,327,406,406
1076,491,642,642
1077,763,490,490
1078,694,565,694
1079,199,231,199
1080,16,55,55
1081,451,598,598
1082,52,6,6
1083,788,428,428
1084,484,451,484
1085,101,518,518
1086,249,797,249
1087,670,131,131
1088,715,73,715
1089,789,156,156
1090,350,749,350
1091,551,772,772
1092,368,344,368
1093,232,405,232
1094,421,156,421
1095,103,465,103
1096,581,299,581
1097,743,421,421
1098,171,455,455
1099,142,562,142
1100,656,37,37
1101,680,721,721
1102,362,528,528
1103,453,561,453
1104,344,173,344
1105,526,701,701
1106,525,81,525
1107,365,244,244
1108,295,290,295
1109,307,113,307
1110,595,401,401
1111,549,600,549
1112,243,197,197
1113,703,426,703
1114,587,461,461
1115,82,278,278
1116,583,545,583
1117,420,394,394
1118,131,513,513
1119,375,505,505
1120,209,115,209
1121,215,601,601
1122,503,662,662
1123,157,79,157
1124,197,799,799
1125,501,690,690
1126,148,106,106
1127,671,718,718
1128,639,278,278
1129,334,778,778
1130,211,494,494
1131,760,396,760
1132,565,616,616
1133,716,296,716
1134,4,794,794
1135,785,218,785
1136,445,764,764
1137,317,102,102
1138,262,787,787
1139,2,705,705
1140,410,209,410
1141,597,682,682
1142,737,701,701
1143,305,160,160
1144,638,310,638
1145,63,428,428
1146,676,353,676
1147,454,55,55
1148,390,439,439
1149,315,115,115
1150,364,302,364
1151,797,113,797
1152,513,162,513
1153,194,763,763
1154,10,158,158
1155,754,434,434
1156,230,61,61
1157,692,211,692
1158,239,41,239
1159,130,226,226
1160,254,157,157
1161,675,411,675
1162,303,569,569
1163,461,563,563
1164,567,362,362
1165,547,675,547
1166,184,53,184
1167,50,462,462
1168,658,226,658
1169,296,337,337
1170,431,169,431
1171,558,428,428
1172,457,266,266
1173,71,196,71
1174,654,735,735
1175,104,190,104
1176,487,376,376
1177,543,631,543
1178,759,70,70
1179,72,182,72
1180,367,124,124
1181,439,523,523
1182,795,364,795
1183,107,711,711
1184,255,298,255
1185,68,621,68
1186,245,372,245
1187,800,176,800
1188,498,134,134
1189,69,368,368
1190,103,381,103
1191,29,217,29
1192,695,359,359
1193,65,425,65
1194,125,216,216
1195,472,456,472
1196,366,264,264
1197,334,267,267
1198,165,486,165
1199,440,424,424
1200,366,707,707
1201,333,221,333
1202,711,174,711
1203,726,775,726
1204,164,157,164
1205,478,87,478
1206,609,557,557
1207,424,340,424
1208,760,764,760
1209,678,372,372
1210,328,39,39
1211,250,692,250
1212,389,202,202
1213,791,771,771
1214,635,697,635
1215,503,607,503
1216,437,5,437
1217,343,449,343
1218,423,141,423
1219,703,99,703
1220,559,280,280
1221,532,340,340
1222,364,765,765
1223,590,141,590
1224,326,717,717
1225,289,188,289
1226,538,52,538
1227,528,549,528
1228,563,202,202
1229,642,393,393
1230,167,522,522
1231,127,352,127
1232,649,452,649
1233,175,292,175
1234,651,313,651
1235,750,757,757
1236,159,409,409
1237,744,529,744
1238,64,153,153
1239,654,164,654
1240,773,708,773
1241,6,418,418
1242,581,409,409
1243,92,331,331
1244,266,304,266
1245,704,181,704
1246,344,156,156
1247,717,440,717
1248,82,96,82
1249,309,730,730
1250,91,351,351
1251,683,346,683
1252,168,403,168
1253,627,611,611
1254,323,537,537
1255,160,205,205
1256,448,204,204
1257,124,105,124
1258,524,321,524
1259,601,699,699
1260,283,226,283
1261,294,305,305
1262,489,498,498
1263,572,265,572
1264,28,548,28
1265,249,641,249
1266,780,288,288
1267,786,611,786
1268,155,511,155
1269,707,224,707
1270,230,139,139
1271,468,551,551
1272,24,57,24
1273,583,614,614
1274,490,542,542
1275,615,34,34
1276,654,356,356
1277,759,443,443
1278,687,406,687
1279,647,747,747
1280,546,181,546
1281,560,600,600
1282,631,432,432
1283,449,694,694
1284,501,453,453
1285,679,309,679
1286,647,567,647
1287,642,604,604
1288,585,757,757
1289,401,557,557
1290,707,777,707
1291,10,88,10
1292,460,579,579
1293,216,472,472
1294,683,160,160
1295,595,681,681
1296,482,580,580
1297,789,179,179
1298,155,320,155
1299,226,103,103
1300,529,2,2
1301,232,72,232
1302,216,508,508
1303,645,417,645
1304,409,110,110
1305,133,576,133
1306,631,616,616
1307,549,159,549
1308,428,357,428
1309,759,402,759
1310,627,473,627
1311,403,345,345
1312,107,652,107
1313,492,216,216
1314,208,689,689
1315,8,656,8
1316,735,726,726
1317,559,277,559
1318,50,470,50
1319,568,355,568
1320,44,15,44
1321,491,411,491
1322,658,760,658
1323,512,476,512
1324,310,138,138
1325,708,760,708
1326,512,745,745
1327,495,162,162
1328,730,532,532
1329,189,35,35
1330,437,607,437
1331,669,302,302
1332,344,152,344
1333,156,791,156
1334,565,38,565
1335,344,329,344
1336,632,505,505
1337,130,581,581
1338,717,722,717
1339,649,303,649
1340,367,180,367
1341,640,20,20
1342,168,277,168
1343,691,710,710
1344,16,39,16
1345,682,335,682
1346,508,164,164
1347,253,449,253
1348,16,352,16
1349,786,795,786
1350,776,232,232
1351,233,571,233
1352,125,558,125
1353,444,651,444
1354,765,576,576
1355,453,234,234
1356,18,626,626
1357,734,400,400
1358,635,86,635
1359,619,97,619
1360,218,519,519
1361,219,660,660
1362,179,588,588
1363,485,609,609
1364,326,259,259
1365,359,525,525
1366,403,677,677
1367,637,113,637
1368,476,337,476
1369,513,781,513
1370,384,664,384
1371,219,74,219
1372,685,139,139
1373,132,174,132
1374,131,758,131
1375,299,341,341
1376,279,535,535
1377,395,567,567
1378,132,194,132
1379,444,285,444
1380,510,136,136
1381,564,703,703
1382,216,101,101
1383,764,51,764
1384,85,267,85
1385,364,357,357
1386,399,538,538
1387,571,729,729
1388,574,217,574
1389,469,36,469
1390,138,485,138
1391,448,242,242
1392,149,48,48
1393,741,121,741
1394,602,28,28
1395,707,304,707
1396,511,667,511
1397,310,469,469
1398,198,231,198
1399,95,446,446
1400,292,682,682
1401,286,326,326
1402,713,523,713
1403,481,549,481
1404,713,741,713
1405,243,377,377
1406,202,502,202
1407,333,58,333
1408,54,244,244
1409,721,738,721
1410,587,57,57
1411,398,392,398
1412,455,564,455
1413,526,383,526
1414,418,767,418
1415,748,640,748
1416,670,13,13
1417,563,276,276
1418,756,569,756
1419,455,521,521
1420,52,565,565
1421,740,81,740
1422,488,288,288
1423,440,439,440
1424,251,170,170
1425,788,298,298
1426,743,245,245
1427,181,711,711
1428,700,466,700
1429,535,192,535
1430,323,215,215
1431,413,578,413
1432,350,238,350
1433,573,58,58
1434,665,100,665
1435,603,422,603
1436,38,408,408
1437,210,799,799
1438,138,539,138
1439,477,117,477
1440,309,497,497
1441,137,223,223
1442,34,526,526
1443,243,728,728
1444,466,375,466
1445,777,216,216
1446,723,726,726
1447,1,766,766
1448,668,560,560
1449,361,478,478
1450,607,343,343
1451,600,676,600
1452,424,736,424
1453,462,169,169
1454,447,374,374
1455,403,249,249
1456,449,517,517
1457,645,461,645
1458,615,590,590
1459,251,539,539
1460,56,138,138
1461,423,383,423
1462,467,506,467
1463,583,100,583
1464,263,330,263
1465,400,214,214
1466,662,115,115
1467,56,656,656
1468,559,342,559
1469,552,382,552
1470,799,701,701
1471,774,694,694
1472,649,17,649
1473,330,486,330
1474,216,584,216
1475,746,265,265
1476,779,467,467
1477,59,797,59
1478,298,324,298
1479,720,669,720
1480,718,675,718
1481,542,172,172
1482,338,492,338
1483,125,186,125
1484,557,795,557
1485,281,790,281
1486,518,776,518
1487,428,393,428
1488,734,26,26
1489,114,228,228
1490,306,477,477
1491,770,554,554
1492,520,371,520
1493,579,679,679
1494,726,48,726
1495,43,30,30
1496,14,612,612
1497,23,2,23
1498,762,104,104
1499,386,559,559
1500,230,120,230
1501,670,174,174
1502,788,586,788
1503,216,420,420
1504,432,484,432
1505,397,306,306
1506,226,126,126
1507,457,601,601
1508,369,63,63
1509,388,123,388
1510,21,518,518
1511,656,382,656
1512,217,250,250
1513,707,179,707
1514,702,456,702
1515,240,557,557
1516,62,154,154
1517,84,77,84
1518,622,741,622
1519,158,565,158
1520,158,651,651
1521,168,654,654
1522,527,237,527
1523,38,296,296
1524,211,17,211
1525,251,220,251
1526,625,280,280
1527,113,599,599
1528,53,330,330
1529,778,501,778
1530,134,234,234
1531,172,777,172
1532,15,253,253
1533,108,577,108
1534,614,352,614
1535,2,597,597
1536,143,459,143
1537,626,304,626
1538,316,141,316
1539,328,625,625
1540,282,535,535
1541,674,172,172
1542,29,113,29
1543,182,391,391
1544,752,357,357
1545,174,621,174
1546,391,102,102
1547,721,420,420
1548,239,191,191
1549,123,729,729
1550,642,9,9
1551,65,174,65
1552,417,708,708
1553,94,636,636
1554,659,769,659
1555,784,601,601
1556,113,541,541
1557,706,418,418
1558,23,635,635
1559,151,126,126
1560,44,304,44
1561,280,494,494
1562,323,391,391
1563,299,324,299
1564,182,126,126
1565,780,80,80
1566,255,130,130
1567,195,711,711
1568,725,729,729
1569,794,295,794
1570,486,683,683
1571,416,465,465
1572,175,68,175
1573,678,318,318
1574,76,451,451
1575,728,276,276
1576,624,562,562
1577,111,193,193
1578,216,128,216
1579,153,394,394
1580,291,656,656
1581,639,609,609
1582,705,738,705
1583,219,269,269
1584,534,40,534
1585,290,192,192
1586,546,179,179
1587,497,416,497
1588,480,427,427
1589,521,636,521
1590,109,389,109
1591,76,214,214
1592,242,584,242
1593,106,31,31
1594,358,86,358
1595,152,162,162
1596,714,206,714
1597,404,508,508
1598,223,696,223
1599,385,55,55
1600,54,626,54
1601,370,522,522
1602,434,487,434
1603,450,607,607
1604,505,289,505
1605,610,725,610
1606,55,91,55
1607,536,664,536
1608,784,743,784
1609,485,614,614
1610,221,266,266
1611,540,498,540
1612,474,286,474
1613,15,311,311
1614,635,231,635
1615,712,422,712
1616,177,24,24
1617,494,428,494
1618,504,97,97
1619,648,798,648
1620,767,789,767
1621,291,367,367
1622,658,266,266
1623,564,343,343
1624,688,627,688
1625,243,51,51
1626,2,560,560
1627,447,176,447
1628,357,429,429
1629,581,279,581
1630,515,87,515
1631,147,278,147
1632,375,677,677
1633,162,524,524
1634,197,333,333
1635,738,498,498
1636,160,199,160
1637,642,564,642
1638,122,570,570
1639,501,370,370
1640,83,412,412
1641,292,122,292
1642,654,459,654
1643,453,305,453
1644,171,258,171
1645,31,547,31
1646,321,453,453
1647,58,134,134
1648,535,158,158
1649,207,50,50
1650,443,623,623
1651,165,688,165
1652,564,791,791
1653,605,716,716
1654,534,268,534
1655,454,87,454
1656,283,305,283
1657,784,246,246
1658,737,730,737
1659,767,171,171
